"Step","swa_coco_ltd_constraint_b005_tl - contrastive_loss","swa_coco_ltd_constraint_b005_tl - contrastive_loss__MIN","swa_coco_ltd_constraint_b005_tl - contrastive_loss__MAX","swa_coco_ltd_constraint_b010_tl - contrastive_loss","swa_coco_ltd_constraint_b010_tl - contrastive_loss__MIN","swa_coco_ltd_constraint_b010_tl - contrastive_loss__MAX","swa_coco_ltd_constraint_b015_tl - contrastive_loss","swa_coco_ltd_constraint_b015_tl - contrastive_loss__MIN","swa_coco_ltd_constraint_b015_tl - contrastive_loss__MAX","swa_coco_ltd_constraint_tl - contrastive_loss","swa_coco_ltd_constraint_tl - contrastive_loss__MIN","swa_coco_ltd_constraint_tl - contrastive_loss__MAX","swa_coco_ltd_tl - contrastive_loss","swa_coco_ltd_tl - contrastive_loss__MIN","swa_coco_ltd_tl - contrastive_loss__MAX","swa_coco_ltd_constraint_b025_tl - contrastive_loss","swa_coco_ltd_constraint_b025_tl - contrastive_loss__MIN","swa_coco_ltd_constraint_b025_tl - contrastive_loss__MAX"
"0","4.894140720367432","4.894140720367432","4.894140720367432","4.882318496704102","4.882318496704102","4.882318496704102","4.891427040100098","4.891427040100098","4.891427040100098","4.883037090301514","4.883037090301514","4.883037090301514","4.885557174682617","4.885557174682617","4.885557174682617","4.877878189086914","4.877878189086914","4.877878189086914"
"100","4.147033214569092","4.147033214569092","4.147033214569092","3.876589059829712","3.876589059829712","3.876589059829712","3.6751575469970703","3.6751575469970703","3.6751575469970703","3.8111846446990967","3.8111846446990967","3.8111846446990967","3.7318227291107178","3.7318227291107178","3.7318227291107178","3.624685049057007","3.624685049057007","3.624685049057007"
"200","3.2661752700805664","3.2661752700805664","3.2661752700805664","3.1879782676696777","3.1879782676696777","3.1879782676696777","3.0233306884765625","3.0233306884765625","3.0233306884765625","3.2106995582580566","3.2106995582580566","3.2106995582580566","3.1358485221862793","3.1358485221862793","3.1358485221862793","3.0950489044189453","3.0950489044189453","3.0950489044189453"
"300","2.6725053787231445","2.6725053787231445","2.6725053787231445","2.6307644844055176","2.6307644844055176","2.6307644844055176","2.830972194671631","2.830972194671631","2.830972194671631","2.7589993476867676","2.7589993476867676","2.7589993476867676","3.045220375061035","3.045220375061035","3.045220375061035","2.707005262374878","2.707005262374878","2.707005262374878"
"400","2.6017651557922363","2.6017651557922363","2.6017651557922363","2.608980178833008","2.608980178833008","2.608980178833008","2.7037808895111084","2.7037808895111084","2.7037808895111084","2.6889150142669678","2.6889150142669678","2.6889150142669678","2.580190658569336","2.580190658569336","2.580190658569336","2.462043285369873","2.462043285369873","2.462043285369873"
"500","2.4785542488098145","2.4785542488098145","2.4785542488098145","2.2446045875549316","2.2446045875549316","2.2446045875549316","2.6552610397338867","2.6552610397338867","2.6552610397338867","2.663564682006836","2.663564682006836","2.663564682006836","2.8208980560302734","2.8208980560302734","2.8208980560302734","2.3969478607177734","2.3969478607177734","2.3969478607177734"
"600","2.3961429595947266","2.3961429595947266","2.3961429595947266","2.3808398246765137","2.3808398246765137","2.3808398246765137","2.4901366233825684","2.4901366233825684","2.4901366233825684","2.4816107749938965","2.4816107749938965","2.4816107749938965","2.5855071544647217","2.5855071544647217","2.5855071544647217","2.304042339324951","2.304042339324951","2.304042339324951"
"700","2.142500400543213","2.142500400543213","2.142500400543213","2.2143664360046387","2.2143664360046387","2.2143664360046387","2.346620798110962","2.346620798110962","2.346620798110962","2.344048023223877","2.344048023223877","2.344048023223877","2.379045009613037","2.379045009613037","2.379045009613037","2.4334628582000732","2.4334628582000732","2.4334628582000732"
"800","1.8662362098693848","1.8662362098693848","1.8662362098693848","2.318718433380127","2.318718433380127","2.318718433380127","2.1070713996887207","2.1070713996887207","2.1070713996887207","2.260803699493408","2.260803699493408","2.260803699493408","2.403812885284424","2.403812885284424","2.403812885284424","2.344614267349243","2.344614267349243","2.344614267349243"
"900","2.0849313735961914","2.0849313735961914","2.0849313735961914","2.0011324882507324","2.0011324882507324","2.0011324882507324","2.213064193725586","2.213064193725586","2.213064193725586","2.0777063369750977","2.0777063369750977","2.0777063369750977","2.2604079246520996","2.2604079246520996","2.2604079246520996","2.107685089111328","2.107685089111328","2.107685089111328"
"1000","1.8676486015319824","1.8676486015319824","1.8676486015319824","2.2230701446533203","2.2230701446533203","2.2230701446533203","2.231297016143799","2.231297016143799","2.231297016143799","2.0194461345672607","2.0194461345672607","2.0194461345672607","2.3566207885742188","2.3566207885742188","2.3566207885742188","2.103994846343994","2.103994846343994","2.103994846343994"
"1100","2.0110929012298584","2.0110929012298584","2.0110929012298584","1.9442849159240723","1.9442849159240723","1.9442849159240723","2.2198197841644287","2.2198197841644287","2.2198197841644287","1.8642818927764893","1.8642818927764893","1.8642818927764893","2.038132429122925","2.038132429122925","2.038132429122925","1.8408942222595215","1.8408942222595215","1.8408942222595215"
"1200","2.215409278869629","2.215409278869629","2.215409278869629","1.8283624649047852","1.8283624649047852","1.8283624649047852","2.2994918823242188","2.2994918823242188","2.2994918823242188","1.99690580368042","1.99690580368042","1.99690580368042","2.0973825454711914","2.0973825454711914","2.0973825454711914","2.20560622215271","2.20560622215271","2.20560622215271"
"1300","1.9147512912750244","1.9147512912750244","1.9147512912750244","1.9871336221694946","1.9871336221694946","1.9871336221694946","1.9516940116882324","1.9516940116882324","1.9516940116882324","2.017517328262329","2.017517328262329","2.017517328262329","2.241826057434082","2.241826057434082","2.241826057434082","2.0172290802001953","2.0172290802001953","2.0172290802001953"
"1400","2.0116162300109863","2.0116162300109863","2.0116162300109863","1.9494907855987549","1.9494907855987549","1.9494907855987549","1.752936601638794","1.752936601638794","1.752936601638794","1.930424690246582","1.930424690246582","1.930424690246582","2.0855841636657715","2.0855841636657715","2.0855841636657715","1.9566073417663574","1.9566073417663574","1.9566073417663574"
"1500","1.9869486093521118","1.9869486093521118","1.9869486093521118","1.8555443286895752","1.8555443286895752","1.8555443286895752","1.909987211227417","1.909987211227417","1.909987211227417","2.1805315017700195","2.1805315017700195","2.1805315017700195","2.259553909301758","2.259553909301758","2.259553909301758","1.9250364303588867","1.9250364303588867","1.9250364303588867"
