"Step","swa_coco_baseline - loss","swa_coco_baseline - loss__MIN","swa_coco_baseline - loss__MAX"
"0","4.878788948059082","4.878788948059082","4.878788948059082"
"100","3.5964713096618652","3.5964713096618652","3.5964713096618652"
"200","3.1425161361694336","3.1425161361694336","3.1425161361694336"
"300","3.060863494873047","3.060863494873047","3.060863494873047"
"400","2.6146597862243652","2.6146597862243652","2.6146597862243652"
"500","2.5256187915802","2.5256187915802","2.5256187915802"
"600","2.400369167327881","2.400369167327881","2.400369167327881"
"700","2.427515983581543","2.427515983581543","2.427515983581543"
"800","2.3234903812408447","2.3234903812408447","2.3234903812408447"
"900","2.0956826210021973","2.0956826210021973","2.0956826210021973"
"1000","2.2688848972320557","2.2688848972320557","2.2688848972320557"
"1100","2.325432300567627","2.325432300567627","2.325432300567627"
"1200","2.237633466720581","2.237633466720581","2.237633466720581"
"1300","2.088803768157959","2.088803768157959","2.088803768157959"
"1400","2.0700571537017822","2.0700571537017822","2.0700571537017822"
"1500","1.979215145111084","1.979215145111084","1.979215145111084"
"1600","2.0773792266845703","2.0773792266845703","2.0773792266845703"
"1700","2.0178182125091553","2.0178182125091553","2.0178182125091553"
"1800","1.9428901672363281","1.9428901672363281","1.9428901672363281"
"1900","2.329425096511841","2.329425096511841","2.329425096511841"
"2000","1.7876496315002441","1.7876496315002441","1.7876496315002441"
"2100","2.205327033996582","2.205327033996582","2.205327033996582"
"2200","1.9121021032333374","1.9121021032333374","1.9121021032333374"
"2300","1.8347710371017456","1.8347710371017456","1.8347710371017456"
"2400","1.8462483882904053","1.8462483882904053","1.8462483882904053"
"2500","2.052513599395752","2.052513599395752","2.052513599395752"
"2600","1.753207802772522","1.753207802772522","1.753207802772522"
"2700","1.6530652046203613","1.6530652046203613","1.6530652046203613"
"2800","1.7864487171173096","1.7864487171173096","1.7864487171173096"
"2900","1.8271945714950562","1.8271945714950562","1.8271945714950562"
"3000","1.8061764240264893","1.8061764240264893","1.8061764240264893"
"3100","2.0320000648498535","2.0320000648498535","2.0320000648498535"
"3200","1.8886902332305908","1.8886902332305908","1.8886902332305908"
"3300","1.9331673383712769","1.9331673383712769","1.9331673383712769"
"3400","1.8967416286468506","1.8967416286468506","1.8967416286468506"
"3500","1.797277569770813","1.797277569770813","1.797277569770813"
"3600","1.9399057626724243","1.9399057626724243","1.9399057626724243"
"3700","1.7535308599472046","1.7535308599472046","1.7535308599472046"
"3800","1.57323157787323","1.57323157787323","1.57323157787323"
"3900","1.7287371158599854","1.7287371158599854","1.7287371158599854"
"4000","1.7065174579620361","1.7065174579620361","1.7065174579620361"
"4100","1.8484021425247192","1.8484021425247192","1.8484021425247192"
"4200","1.7895950078964233","1.7895950078964233","1.7895950078964233"
"4300","1.6490079164505005","1.6490079164505005","1.6490079164505005"
"4400","2.064234733581543","2.064234733581543","2.064234733581543"
"4426","1.8425031900405884","1.8425031900405884","1.8425031900405884"
"4526","1.6332701444625854","1.6332701444625854","1.6332701444625854"
"4626","1.693006992340088","1.693006992340088","1.693006992340088"
"4726","1.636014699935913","1.636014699935913","1.636014699935913"
"4826","1.82902991771698","1.82902991771698","1.82902991771698"
"4926","1.6990041732788086","1.6990041732788086","1.6990041732788086"
"5026","1.6051609516143799","1.6051609516143799","1.6051609516143799"
"5126","1.7547485828399658","1.7547485828399658","1.7547485828399658"
"5226","1.5652310848236084","1.5652310848236084","1.5652310848236084"
"5326","1.828572154045105","1.828572154045105","1.828572154045105"
"5426","1.6498686075210571","1.6498686075210571","1.6498686075210571"
"5526","1.5351500511169434","1.5351500511169434","1.5351500511169434"
"5626","1.7530550956726074","1.7530550956726074","1.7530550956726074"
"5726","1.501829743385315","1.501829743385315","1.501829743385315"
"5826","1.5760748386383057","1.5760748386383057","1.5760748386383057"
"5926","1.5272252559661865","1.5272252559661865","1.5272252559661865"
"6026","1.790920376777649","1.790920376777649","1.790920376777649"
"6126","1.5644605159759521","1.5644605159759521","1.5644605159759521"
"6226","1.4999644756317139","1.4999644756317139","1.4999644756317139"
"6326","1.6304901838302612","1.6304901838302612","1.6304901838302612"
"6426","1.6135611534118652","1.6135611534118652","1.6135611534118652"
"6526","1.6992509365081787","1.6992509365081787","1.6992509365081787"
"6626","1.681203842163086","1.681203842163086","1.681203842163086"
"6726","1.640270471572876","1.640270471572876","1.640270471572876"
"6826","1.5422183275222778","1.5422183275222778","1.5422183275222778"
"6926","1.7838882207870483","1.7838882207870483","1.7838882207870483"
"7026","1.7028276920318604","1.7028276920318604","1.7028276920318604"
"7126","1.599747896194458","1.599747896194458","1.599747896194458"
"7226","1.6553020477294922","1.6553020477294922","1.6553020477294922"
"7326","1.8083600997924805","1.8083600997924805","1.8083600997924805"
"7426","1.4626390933990479","1.4626390933990479","1.4626390933990479"
"7526","1.655739665031433","1.655739665031433","1.655739665031433"
"7626","1.4071941375732422","1.4071941375732422","1.4071941375732422"
"7726","1.779252290725708","1.779252290725708","1.779252290725708"
"7826","1.7138067483901978","1.7138067483901978","1.7138067483901978"
"7926","1.515434741973877","1.515434741973877","1.515434741973877"
"8026","1.7494137287139893","1.7494137287139893","1.7494137287139893"
"8126","1.6047033071517944","1.6047033071517944","1.6047033071517944"
"8226","1.6076767444610596","1.6076767444610596","1.6076767444610596"
"8326","1.3123823404312134","1.3123823404312134","1.3123823404312134"
"8426","1.6089495420455933","1.6089495420455933","1.6089495420455933"
"8526","1.3403582572937012","1.3403582572937012","1.3403582572937012"
"8626","1.673758864402771","1.673758864402771","1.673758864402771"
"8726","1.436058521270752","1.436058521270752","1.436058521270752"
"8826","1.5841633081436157","1.5841633081436157","1.5841633081436157"
"8852","1.6968351602554321","1.6968351602554321","1.6968351602554321"
"8952","1.7987744808197021","1.7987744808197021","1.7987744808197021"
"9052","1.4941558837890625","1.4941558837890625","1.4941558837890625"
"9152","1.4982199668884277","1.4982199668884277","1.4982199668884277"
"9252","1.35679030418396","1.35679030418396","1.35679030418396"
"9352","1.4163939952850342","1.4163939952850342","1.4163939952850342"
"9452","1.4364736080169678","1.4364736080169678","1.4364736080169678"
"9552","1.5396497249603271","1.5396497249603271","1.5396497249603271"
"9652","1.4554678201675415","1.4554678201675415","1.4554678201675415"
"9752","1.5653618574142456","1.5653618574142456","1.5653618574142456"
"9852","1.633681058883667","1.633681058883667","1.633681058883667"
"9952","1.6889803409576416","1.6889803409576416","1.6889803409576416"
"10052","1.6023783683776855","1.6023783683776855","1.6023783683776855"
"10152","1.6062729358673096","1.6062729358673096","1.6062729358673096"
