"Step","swa_coco_ltd_constraint_b005_tl - multiplier","swa_coco_ltd_constraint_b005_tl - multiplier__MIN","swa_coco_ltd_constraint_b005_tl - multiplier__MAX","swa_coco_ltd_constraint_b010_tl - multiplier","swa_coco_ltd_constraint_b010_tl - multiplier__MIN","swa_coco_ltd_constraint_b010_tl - multiplier__MAX","swa_coco_ltd_constraint_b015_tl - multiplier","swa_coco_ltd_constraint_b015_tl - multiplier__MIN","swa_coco_ltd_constraint_b015_tl - multiplier__MAX","swa_coco_ltd_constraint_tl - multiplier","swa_coco_ltd_constraint_tl - multiplier__MIN","swa_coco_ltd_constraint_tl - multiplier__MAX","swa_coco_ltd_constraint_b025_tl - multiplier","swa_coco_ltd_constraint_b025_tl - multiplier__MIN","swa_coco_ltd_constraint_b025_tl - multiplier__MAX"
"0","1.095988392829895","1.095988392829895","1.095988392829895","1.0460152626037598","1.0460152626037598","1.0460152626037598","1.0288989543914795","1.0288989543914795","1.0288989543914795","1.0199857950210571","1.0199857950210571","1.0199857950210571","1.0149617195129395","1.0149617195129395","1.0149617195129395"
"100","7.934401988983154","7.934401988983154","7.934401988983154","4.201714992523193","4.201714992523193","4.201714992523193","2.9579081535339355","2.9579081535339355","2.9579081535339355","2.342155933380127","2.342155933380127","2.342155933380127","1.9771363735198975","1.9771363735198975","1.9771363735198975"
"200","13.19070053100586","13.19070053100586","13.19070053100586","6.536071300506592","6.536071300506592","6.536071300506592","4.41306734085083","4.41306734085083","4.41306734085083","3.356534719467163","3.356534719467163","3.356534719467163","2.7148101329803467","2.7148101329803467","2.7148101329803467"
"300","17.249248504638672","17.249248504638672","17.249248504638672","8.365846633911133","8.365846633911133","8.365846633911133","5.592082500457764","5.592082500457764","5.592082500457764","4.185090065002441","4.185090065002441","4.185090065002441","3.264345407485962","3.264345407485962","3.264345407485962"
"400","20.665342330932617","20.665342330932617","20.665342330932617","9.8626708984375","9.8626708984375","9.8626708984375","6.591845989227295","6.591845989227295","6.591845989227295","4.8681745529174805","4.8681745529174805","4.8681745529174805","3.692324161529541","3.692324161529541","3.692324161529541"
"500","23.635087966918945","23.635087966918945","23.635087966918945","11.172063827514648","11.172063827514648","11.172063827514648","7.46567964553833","7.46567964553833","7.46567964553833","5.433414459228516","5.433414459228516","5.433414459228516","4.04102087020874","4.04102087020874","4.04102087020874"
"600","26.299325942993164","26.299325942993164","26.299325942993164","12.354382514953613","12.354382514953613","12.354382514953613","8.22168254852295","8.22168254852295","8.22168254852295","5.924604415893555","5.924604415893555","5.924604415893555","4.336784362792969","4.336784362792969","4.336784362792969"
"700","28.728361129760742","28.728361129760742","28.728361129760742","13.425968170166016","13.425968170166016","13.425968170166016","8.887434959411621","8.887434959411621","8.887434959411621","6.334569931030273","6.334569931030273","6.334569931030273","4.585356712341309","4.585356712341309","4.585356712341309"
"800","30.968027114868164","30.968027114868164","30.968027114868164","14.403579711914062","14.403579711914062","14.403579711914062","9.489969253540039","9.489969253540039","9.489969253540039","6.687341690063477","6.687341690063477","6.687341690063477","4.799670696258545","4.799670696258545","4.799670696258545"
"900","33.08482360839844","33.08482360839844","33.08482360839844","15.302907943725586","15.302907943725586","15.302907943725586","10.03475570678711","10.03475570678711","10.03475570678711","6.9929914474487305","6.9929914474487305","6.9929914474487305","4.988079071044922","4.988079071044922","4.988079071044922"
"1000","35.10432434082031","35.10432434082031","35.10432434082031","16.153995513916016","16.153995513916016","16.153995513916016","10.544657707214355","10.544657707214355","10.544657707214355","7.261696815490723","7.261696815490723","7.261696815490723","5.148702621459961","5.148702621459961","5.148702621459961"
"1100","37.03691864013672","37.03691864013672","37.03691864013672","16.99007225036621","16.99007225036621","16.99007225036621","11.005154609680176","11.005154609680176","11.005154609680176","7.500154972076416","7.500154972076416","7.500154972076416","5.285989761352539","5.285989761352539","5.285989761352539"
"1200","38.94369888305664","38.94369888305664","38.94369888305664","17.77552604675293","17.77552604675293","17.77552604675293","11.414788246154785","11.414788246154785","11.414788246154785","7.709474563598633","7.709474563598633","7.709474563598633","5.401177406311035","5.401177406311035","5.401177406311035"
"1300","40.7787971496582","40.7787971496582","40.7787971496582","18.501737594604492","18.501737594604492","18.501737594604492","11.793280601501465","11.793280601501465","11.793280601501465","7.894244194030762","7.894244194030762","7.894244194030762","5.501012325286865","5.501012325286865","5.501012325286865"
"1400","42.53628158569336","42.53628158569336","42.53628158569336","19.195022583007812","19.195022583007812","19.195022583007812","12.140774726867676","12.140774726867676","12.140774726867676","8.062148094177246","8.062148094177246","8.062148094177246","5.581275463104248","5.581275463104248","5.581275463104248"
"1500","44.21440124511719","44.21440124511719","44.21440124511719","19.854236602783203","19.854236602783203","19.854236602783203","12.463123321533203","12.463123321533203","12.463123321533203","8.213146209716797","8.213146209716797","8.213146209716797","5.64914083480835","5.64914083480835","5.64914083480835"
"1600","45.85496139526367","45.85496139526367","45.85496139526367","20.483047485351562","20.483047485351562","20.483047485351562","12.76646614074707","12.76646614074707","12.76646614074707","8.348766326904297","8.348766326904297","8.348766326904297","5.704303741455078","5.704303741455078","5.704303741455078"
"1700","47.44548416137695","47.44548416137695","47.44548416137695","21.083051681518555","21.083051681518555","21.083051681518555","13.042919158935547","13.042919158935547","13.042919158935547","8.471463203430176","8.471463203430176","8.471463203430176","5.746384620666504","5.746384620666504","5.746384620666504"
"1800","49.016319274902344","49.016319274902344","49.016319274902344","21.668832778930664","21.668832778930664","21.668832778930664","13.308692932128906","13.308692932128906","13.308692932128906","8.577973365783691","8.577973365783691","8.577973365783691","5.781352519989014","5.781352519989014","5.781352519989014"
"1900","50.50812530517578","50.50812530517578","50.50812530517578","22.228313446044922","22.228313446044922","22.228313446044922","13.555923461914062","13.555923461914062","13.555923461914062","8.67862319946289","8.67862319946289","8.67862319946289","5.807206630706787","5.807206630706787","5.807206630706787"
"2000","51.989070892333984","51.989070892333984","51.989070892333984","22.775022506713867","22.775022506713867","22.775022506713867","13.792067527770996","13.792067527770996","13.792067527770996","8.767970085144043","8.767970085144043","8.767970085144043","5.824800491333008","5.824800491333008","5.824800491333008"
"2100","53.429779052734375","53.429779052734375","53.429779052734375","23.29346466064453","23.29346466064453","23.29346466064453","14.016691207885742","14.016691207885742","14.016691207885742","8.844191551208496","8.844191551208496","8.844191551208496","5.83580207824707","5.83580207824707","5.83580207824707"
"2200","54.8509635925293","54.8509635925293","54.8509635925293","23.803787231445312","23.803787231445312","23.803787231445312","14.229155540466309","14.229155540466309","14.229155540466309","8.912806510925293","8.912806510925293","8.912806510925293","5.8373613357543945","5.8373613357543945","5.8373613357543945"
"2300","56.2535285949707","56.2535285949707","56.2535285949707","24.30219841003418","24.30219841003418","24.30219841003418","14.425073623657227","14.425073623657227","14.425073623657227","8.970259666442871","8.970259666442871","8.970259666442871","5.830694198608398","5.830694198608398","5.830694198608398"
