"Step","swa_coco_ltd_constraint_b005_tl - best_score","swa_coco_ltd_constraint_b005_tl - best_score__MIN","swa_coco_ltd_constraint_b005_tl - best_score__MAX","swa_coco_ltd_constraint_b010_tl - best_score","swa_coco_ltd_constraint_b010_tl - best_score__MIN","swa_coco_ltd_constraint_b010_tl - best_score__MAX","swa_coco_ltd_constraint_b015_tl - best_score","swa_coco_ltd_constraint_b015_tl - best_score__MIN","swa_coco_ltd_constraint_b015_tl - best_score__MAX","swa_coco_ltd_constraint_tl - best_score","swa_coco_ltd_constraint_tl - best_score__MIN","swa_coco_ltd_constraint_tl - best_score__MAX","swa_coco_ltd_tl - best_score","swa_coco_ltd_tl - best_score__MIN","swa_coco_ltd_tl - best_score__MAX","swa_coco_ltd_constraint_b025_tl - best_score","swa_coco_ltd_constraint_b025_tl - best_score__MIN","swa_coco_ltd_constraint_b025_tl - best_score__MAX","swa_coco_baseline - best_score","swa_coco_baseline - best_score__MIN","swa_coco_baseline - best_score__MAX"
"4426","200.88","200.88","200.88","201.12","201.12","201.12","199.636","199.636","199.636","200.86800000000002","200.86800000000002","200.86800000000002","177.376","177.376","177.376","196.34000000000003","196.34000000000003","196.34000000000003","171.096","171.096","171.096"
"8852","224.10000000000002","224.10000000000002","224.10000000000002","226.38400000000001","226.38400000000001","226.38400000000001","226.816","226.816","226.816","231.964","231.964","231.964","204.752","204.752","204.752","223.228","223.228","223.228","204.24","204.24","204.24"
"13278","238.52800000000002","238.52800000000002","238.52800000000002","239.88800000000003","239.88800000000003","239.88800000000003","241.62","241.62","241.62","246.73999999999998","246.73999999999998","246.73999999999998","222.07999999999998","222.07999999999998","222.07999999999998","238.32","238.32","238.32","218.74","218.74","218.74"
"17704","242.844","242.844","242.844","245.60399999999998","245.60399999999998","245.60399999999998","248.88800000000003","248.88800000000003","248.88800000000003","257.34","257.34","257.34","233.868","233.868","233.868","246.56","246.56","246.56","231.89200000000002","231.89200000000002","231.89200000000002"
"22130","249.20800000000003","249.20800000000003","249.20800000000003","251.94400000000002","251.94400000000002","251.94400000000002","256.396","256.396","256.396","264.076","264.076","264.076","242.54000000000002","242.54000000000002","242.54000000000002","252.43200000000002","252.43200000000002","252.43200000000002","239.572","239.572","239.572"
"26556","252.83599999999996","252.83599999999996","252.83599999999996","255.14","255.14","255.14","259.536","259.536","259.536","267.4","267.4","267.4","248.276","248.276","248.276","258.47200000000004","258.47200000000004","258.47200000000004","246.91600000000003","246.91600000000003","246.91600000000003"
"30982","257.448","257.448","257.448","259.804","259.804","259.804","265.868","265.868","265.868","271.204","271.204","271.204","254.692","254.692","254.692","262.972","262.972","262.972","251.92000000000002","251.92000000000002","251.92000000000002"
"35408","258.70000000000005","258.70000000000005","258.70000000000005","262.604","262.604","262.604","270.264","270.264","270.264","274.344","274.344","274.344","260.94","260.94","260.94","266.20799999999997","266.20799999999997","266.20799999999997","256.456","256.456","256.456"
"39834","263.144","263.144","263.144","262.604","262.604","262.604","276.836","276.836","276.836","278.056","278.056","278.056","264.38800000000003","264.38800000000003","264.38800000000003","268.652","268.652","268.652","261.984","261.984","261.984"
"44260","263.144","263.144","263.144","268.252","268.252","268.252","280.444","280.444","280.444","282.376","282.376","282.376","269.06","269.06","269.06","270.996","270.996","270.996","263.53200000000004","263.53200000000004","263.53200000000004"
"48686","265.676","265.676","265.676","268.28","268.28","268.28","285.28","285.28","285.28","283.464","283.464","283.464","269.06","269.06","269.06","274.66","274.66","274.66","266.376","266.376","266.376"
"53112","269.40799999999996","269.40799999999996","269.40799999999996","270.172","270.172","270.172","288.136","288.136","288.136","285.524","285.524","285.524","271.888","271.888","271.888","276.464","276.464","276.464","270.40400000000005","270.40400000000005","270.40400000000005"
"57538","270.62","270.62","270.62","272.056","272.056","272.056","289.332","289.332","289.332","285.91200000000003","285.91200000000003","285.91200000000003","276.632","276.632","276.632","276.94399999999996","276.94399999999996","276.94399999999996","271.404","271.404","271.404"
"61964","270.62","270.62","270.62","273.532","273.532","273.532","290.42","290.42","290.42","288.744","288.744","288.744","276.632","276.632","276.632","280.38","280.38","280.38","272.96799999999996","272.96799999999996","272.96799999999996"
"66390","272.436","272.436","272.436","274.80400000000003","274.80400000000003","274.80400000000003","290.532","290.532","290.532","288.744","288.744","288.744","279.55600000000004","279.55600000000004","279.55600000000004","281.756","281.756","281.756","274.52799999999996","274.52799999999996","274.52799999999996"
"70816","273.6","273.6","273.6","275.52","275.52","275.52","293.736","293.736","293.736","289.348","289.348","289.348","280.84","280.84","280.84","283.328","283.328","283.328","276.044","276.044","276.044"
"75242","273.94","273.94","273.94","277.192","277.192","277.192","294.956","294.956","294.956","290.036","290.036","290.036","282.96","282.96","282.96","284.38","284.38","284.38","277.824","277.824","277.824"
"79668","274.648","274.648","274.648","278.38","278.38","278.38","294.956","294.956","294.956","292.23199999999997","292.23199999999997","292.23199999999997","282.96","282.96","282.96","286.116","286.116","286.116","280.436","280.436","280.436"
"84094","276.116","276.116","276.116","278.38","278.38","278.38","297.176","297.176","297.176","293.48","293.48","293.48","284.49199999999996","284.49199999999996","284.49199999999996","287.10799999999995","287.10799999999995","287.10799999999995","281.768","281.768","281.768"
"88520","276.552","276.552","276.552","278.804","278.804","278.804","298.28","298.28","298.28","294.272","294.272","294.272","285.6","285.6","285.6","287.42","287.42","287.42","283.17199999999997","283.17199999999997","283.17199999999997"
"92946","276.552","276.552","276.552","280.78400000000005","280.78400000000005","280.78400000000005","298.748","298.748","298.748","296.452","296.452","296.452","286.664","286.664","286.664","289.26800000000003","289.26800000000003","289.26800000000003","283.17199999999997","283.17199999999997","283.17199999999997"
"97372","276.616","276.616","276.616","281.03600000000006","281.03600000000006","281.03600000000006","299.252","299.252","299.252","296.452","296.452","296.452","287.428","287.428","287.428","289.26800000000003","289.26800000000003","289.26800000000003","283.28","283.28","283.28"
"101798","277.508","277.508","277.508","282.248","282.248","282.248","299.26","299.26","299.26","296.452","296.452","296.452","288.43600000000004","288.43600000000004","288.43600000000004","289.824","289.824","289.824","284.048","284.048","284.048"
"106224","277.508","277.508","277.508","282.248","282.248","282.248","299.26","299.26","299.26","296.452","296.452","296.452","288.43600000000004","288.43600000000004","288.43600000000004","290.50800000000004","290.50800000000004","290.50800000000004","284.068","284.068","284.068"
"110650","278.64799999999997","278.64799999999997","278.64799999999997","282.248","282.248","282.248","299.26","299.26","299.26","297.15999999999997","297.15999999999997","297.15999999999997","288.516","288.516","288.516","290.50800000000004","290.50800000000004","290.50800000000004","284.932","284.932","284.932"
"115076","279.50399999999996","279.50399999999996","279.50399999999996","282.248","282.248","282.248","299.952","299.952","299.952","298.67199999999997","298.67199999999997","298.67199999999997","289.884","289.884","289.884","290.50800000000004","290.50800000000004","290.50800000000004","286.308","286.308","286.308"
"119502","280.22","280.22","280.22","283.12399999999997","283.12399999999997","283.12399999999997","300.04","300.04","300.04","298.94","298.94","298.94","289.884","289.884","289.884","290.988","290.988","290.988","286.79200000000003","286.79200000000003","286.79200000000003"
"123928","280.22","280.22","280.22","283.12399999999997","283.12399999999997","283.12399999999997","300.04","300.04","300.04","298.94","298.94","298.94","289.884","289.884","289.884","291.764","291.764","291.764","286.79200000000003","286.79200000000003","286.79200000000003"
"128354","280.22","280.22","280.22","283.82","283.82","283.82","300.38","300.38","300.38","298.94","298.94","298.94","289.884","289.884","289.884","291.764","291.764","291.764","286.79200000000003","286.79200000000003","286.79200000000003"
"132780","280.764","280.764","280.764","283.82","283.82","283.82","300.38","300.38","300.38","299.192","299.192","299.192","290.264","290.264","290.264","291.764","291.764","291.764","286.79200000000003","286.79200000000003","286.79200000000003"
"137206","292.528","292.528","292.528","293.78","293.78","293.78","308.756","308.756","308.756","310.308","310.308","310.308","301.764","301.764","301.764","301.612","301.612","301.612","296.856","296.856","296.856"
"141632","297.904","297.904","297.904","298.57599999999996","298.57599999999996","298.57599999999996","314.496","314.496","314.496","312.53999999999996","312.53999999999996","312.53999999999996","305.65999999999997","305.65999999999997","305.65999999999997","306.76800000000003","306.76800000000003","306.76800000000003","302.224","302.224","302.224"
"146058","302.932","302.932","302.932","302.356","302.356","302.356","317.352","317.352","317.352","314.72","314.72","314.72","307.26800000000003","307.26800000000003","307.26800000000003","309.59200000000004","309.59200000000004","309.59200000000004","304.98","304.98","304.98"
"150484","304.49199999999996","304.49199999999996","304.49199999999996","307.44800000000004","307.44800000000004","307.44800000000004","319.288","319.288","319.288","317.956","317.956","317.956","309.08399999999995","309.08399999999995","309.08399999999995","309.98","309.98","309.98","306.448","306.448","306.448"
"154910","307.248","307.248","307.248","309.724","309.724","309.724","321.56","321.56","321.56","320.104","320.104","320.104","311.072","311.072","311.072","311.55199999999996","311.55199999999996","311.55199999999996","309.896","309.896","309.896"
"159336","308.264","308.264","308.264","311.312","311.312","311.312","323.432","323.432","323.432","321.856","321.856","321.856","312.464","312.464","312.464","314.664","314.664","314.664","309.896","309.896","309.896"
"163762","310.856","310.856","310.856","312.328","312.328","312.328","325.19999999999993","325.19999999999993","325.19999999999993","323.00800000000004","323.00800000000004","323.00800000000004","313.23199999999997","313.23199999999997","313.23199999999997","317.87199999999996","317.87199999999996","317.87199999999996","311.36400000000003","311.36400000000003","311.36400000000003"
"168188","313.104","313.104","313.104","314.264","314.264","314.264","326.016","326.016","326.016","324.716","324.716","324.716","315.084","315.084","315.084","317.87199999999996","317.87199999999996","317.87199999999996","311.932","311.932","311.932"
"172614","313.104","313.104","313.104","315.072","315.072","315.072","326.176","326.176","326.176","324.716","324.716","324.716","315.816","315.816","315.816","318.816","318.816","318.816","313.272","313.272","313.272"
"177040","313.89199999999994","313.89199999999994","313.89199999999994","316.704","316.704","316.704","327.30400000000003","327.30400000000003","327.30400000000003","326.52","326.52","326.52","317.08799999999997","317.08799999999997","317.08799999999997","318.952","318.952","318.952","314.904","314.904","314.904"
"181466","315.9","315.9","315.9","317.98799999999994","317.98799999999994","317.98799999999994","327.656","327.656","327.656","327.28400000000005","327.28400000000005","327.28400000000005","318.392","318.392","318.392","319.13200000000006","319.13200000000006","319.13200000000006","315.92","315.92","315.92"
"185892","317.984","317.984","317.984","319.22799999999995","319.22799999999995","319.22799999999995","328.16","328.16","328.16","327.28400000000005","327.28400000000005","327.28400000000005","318.392","318.392","318.392","320.172","320.172","320.172","316.236","316.236","316.236"
"190318","317.984","317.984","317.984","319.46000000000004","319.46000000000004","319.46000000000004","330","330","330","328.43199999999996","328.43199999999996","328.43199999999996","319.6","319.6","319.6","321.504","321.504","321.504","316.35200000000003","316.35200000000003","316.35200000000003"
"194744","318.344","318.344","318.344","319.46000000000004","319.46000000000004","319.46000000000004","330.648","330.648","330.648","329.68","329.68","329.68","320.696","320.696","320.696","322.52","322.52","322.52","317.216","317.216","317.216"
"199170","318.344","318.344","318.344","320.716","320.716","320.716","330.98","330.98","330.98","329.764","329.764","329.764","320.696","320.696","320.696","323.644","323.644","323.644","318.52","318.52","318.52"
"203596","318.344","318.344","318.344","320.804","320.804","320.804","332.00800000000004","332.00800000000004","332.00800000000004","330.948","330.948","330.948","321.492","321.492","321.492","323.656","323.656","323.656","318.52","318.52","318.52"
"208022","319.08","319.08","319.08","321.212","321.212","321.212","332.75600000000003","332.75600000000003","332.75600000000003","330.948","330.948","330.948","322.51599999999996","322.51599999999996","322.51599999999996","323.656","323.656","323.656","318.52","318.52","318.52"
"212448","320.67999999999995","320.67999999999995","320.67999999999995","323.4","323.4","323.4","332.75600000000003","332.75600000000003","332.75600000000003","330.948","330.948","330.948","322.51599999999996","322.51599999999996","322.51599999999996","324.044","324.044","324.044","319.164","319.164","319.164"
"216874","320.67999999999995","320.67999999999995","320.67999999999995","323.4","323.4","323.4","332.84","332.84","332.84","331.70799999999997","331.70799999999997","331.70799999999997","323.67199999999997","323.67199999999997","323.67199999999997","324.904","324.904","324.904","320.432","320.432","320.432"
"221300","320.84799999999996","320.84799999999996","320.84799999999996","323.708","323.708","323.708","333.616","333.616","333.616","332.216","332.216","332.216","323.91200000000003","323.91200000000003","323.91200000000003","324.904","324.904","324.904","320.432","320.432","320.432"
"225726","320.84799999999996","320.84799999999996","320.84799999999996","323.708","323.708","323.708","333.616","333.616","333.616","332.216","332.216","332.216","323.91200000000003","323.91200000000003","323.91200000000003","324.904","324.904","324.904","320.964","320.964","320.964"
"230152","320.916","320.916","320.916","323.708","323.708","323.708","333.628","333.628","333.628","332.216","332.216","332.216","323.91200000000003","323.91200000000003","323.91200000000003","324.904","324.904","324.904","320.964","320.964","320.964"
"234578","321.20799999999997","321.20799999999997","321.20799999999997","323.708","323.708","323.708","334.36400000000003","334.36400000000003","334.36400000000003","332.4","332.4","332.4","324.17999999999995","324.17999999999995","324.17999999999995","325.104","325.104","325.104","320.964","320.964","320.964"
"239004","321.688","321.688","321.688","323.708","323.708","323.708","334.36400000000003","334.36400000000003","334.36400000000003","332.544","332.544","332.544","324.17999999999995","324.17999999999995","324.17999999999995","325.70799999999997","325.70799999999997","325.70799999999997","321.244","321.244","321.244"
"243430","321.736","321.736","321.736","324.604","324.604","324.604","334.36400000000003","334.36400000000003","334.36400000000003","333.132","333.132","333.132","324.17999999999995","324.17999999999995","324.17999999999995","325.70799999999997","325.70799999999997","325.70799999999997","321.244","321.244","321.244"
"247856","321.736","321.736","321.736","324.604","324.604","324.604","334.69599999999997","334.69599999999997","334.69599999999997","333.132","333.132","333.132","324.17999999999995","324.17999999999995","324.17999999999995","325.71999999999997","325.71999999999997","325.71999999999997","321.244","321.244","321.244"
"252282","322.17600000000004","322.17600000000004","322.17600000000004","324.604","324.604","324.604","335.08","335.08","335.08","333.132","333.132","333.132","324.216","324.216","324.216","325.90799999999996","325.90799999999996","325.90799999999996","321.244","321.244","321.244"
"256708","322.17600000000004","322.17600000000004","322.17600000000004","324.604","324.604","324.604","335.08","335.08","335.08","333.132","333.132","333.132","324.33599999999996","324.33599999999996","324.33599999999996","325.90799999999996","325.90799999999996","325.90799999999996","321.244","321.244","321.244"
"261134","322.17600000000004","322.17600000000004","322.17600000000004","324.604","324.604","324.604","335.08","335.08","335.08","333.132","333.132","333.132","324.33599999999996","324.33599999999996","324.33599999999996","326.076","326.076","326.076","321.244","321.244","321.244"
"265560","322.244","322.244","322.244","324.604","324.604","324.604","335.08","335.08","335.08","333.132","333.132","333.132","324.50800000000004","324.50800000000004","324.50800000000004","326.288","326.288","326.288","321.244","321.244","321.244"
